Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar-11,19.293,0.232,-0.741,-4.745,-4.745,-1.41,2.044,2.591,0.199,31.096,20.599,11.906,31.83,-57.5,-12.08,-26.75,-56.71,10.53,2.07,-12.46,-4.64,-24.59,10.59,0.383,0.197,0.075,-6.12,0.123,0,42.93,52,36.47,27.4,2.5,1.12,0.449,19361.716,21774.774,-2413.059,4600.304,0,0,-6114.762,-898.6,43.088,-90.524,-47.436,111.443,-89.777,-834.593,-3837.618,-459.82,-4672.211,0,-4761.988,0,-4.745,-4.745,1003.58,976.509,232.44,12424.363,7914.204,20338.567,9108.602,1266.525,869.217,0,6487.268,0,8623.011,9011.109,47081.289,72172.339,1787.794,10638.664,24703.369,651.818,37781.645,-26454.003,11327.642,10534.704,5744.302,17187.306,158303.281,12407.523,968.511,0,23091.945,2000.698,20181.415,0,20181.415,5272.551,50546.609,9948.13,0,9948.13,55074.81,3750.622,4759.416,3016.339,127095.925,0,0,19183.485,-9849.768,21930.836,-57.197,31207.356,-4672.211,0,-4672.211,976.509,4012.75,599.777,0,-1814.862,2029.089,3835.524,6.32,0,425.404,2600.634,-549.745,74.896,0,159.516,-3161.243,1963.808,0,0,-104.364,-1617.132,0,0,0,2145.21,0.171,-2143.533,1.849,1159.222,-549.745,2050.89,0,0,1.02,1.55,7.38,4.34,0.37,0,0.33,3.31,6.51,15.36,4.72,40.18,1.21,31944.27,28313.946,-106.38,-79.73,-95.27,45.09,32.87,-27.05,0,21.62,0.95,3,-2.72,0.176,-1.44,0.93,0.76,0,36.74,27.77,0,2.4,-663.62,-82.67,-4.54,1003.58,1003.59,1.55,6/28/2011,6/28/2011
Jun-11,18.521,1.331,0.362,-0.192,-0.192,-2.65,-1.377,-0.494,0,31.172,20.741,12.575,26.39,-2.47,-0.48,12.43,-0.89,5.92,2.47,34.87,1.84,-1.04,-7.43,0.403,0.196,0.079,16.3,0.117,0,43.02,0,70.41,113.43,1.3,0.65,0.502,18587.557,12105.168,6482.389,3980.633,0,0,2159.827,341.93,53.142,-75.995,-22.853,-31.619,-137.854,287.457,-342.352,119.1,-54.895,0,-192.749,0,-0.192,-0.192,1003.574,972.249,1335.702,10153.296,7665.168,17818.464,8763.446,0,0,0,0,125.05,10057.233,8735.954,45375.097,74873.679,1806.52,10751.822,25881.799,632.856,39072.998,-27013.052,12059.946,10468.145,5752.239,17087.717,159864.583,0,753.339,11555.904,21776.977,3354.268,0,0,0,25451.067,50582.312,9265.498,0,9265.498,3331.153,4037.294,4978.682,56387.122,128582.061,0,0,19281.985,-10204.586,22263.86,-58.737,31282.522,-54.895,0,-54.895,972.249,334.121,-1369.708,0,-299.356,-2481.688,-58.936,7.1,0,1120.149,-496.022,-885.56,29.219,0,31.109,-3054.601,1963.198,0,0,74.876,-1841.757,0,0,0,351.068,-156.84,-81.703,112.526,-2459.705,-885.56,-1381.582,0,0,0.85,1.27,6.44,3.65,0.3,0,0.3,4.48,12.17,8.22,0.63,30.19,1.46,26483.948,26263.932,-110.37,-82.91,-98.81,48.57,32.99,-31.49,0,18.41,0.84,4,-2.68,0.196,-1.57,0.9,0.7,4.5,33.31,24.13,0,1.77,-168.11,-65.9,-8.84,1003.574,1003.56,1.49,8/12/2011,8/12/2011
Sep-11,20.436,1.167,0.085,-0.35,-0.35,-3.78,0.989,2.455,0.146,30.736,20.131,13.083,19,-4.52,-0.86,2.82,51.63,-13.97,2.61,23.78,-0.1,-1.71,4.84,0.426,0.184,0.078,11.91,0.125,0,56.59,0,61.06,117.65,1.49,0.76,0.51,20508.818,15631.891,4876.927,4497.557,0,0,400.66,-21.29,30.483,-83.976,-53.493,76.02,-113.47,1.237,-239.05,19324.21,-237.813,0,-351.283,0,-0.35,-0.35,1003.582,1085.634,1170.847,9362.764,7580.529,16943.292,12717.821,0,0,0,0,141.474,10864.593,6628.6,47154.307,80154.449,1842.838,10720.001,25291.13,509.078,38363.046,-26273.893,12089.153,10643.031,5855.901,17544.381,167585.321,0,1043.665,12305.793,24098.654,5097.33,0,0,0,26848.561,56044.544,8032.416,0,8032.416,3452.524,3989.65,5325.572,59894.551,136739.258,0,0,19678.823,-12083.593,23311.214,-60.381,30846.063,-237.813,0,-237.813,1085.634,-695.872,-1134.933,0,1295.164,-208.905,-143.485,7.735,0,1960.579,2463.745,-1471.267,49.143,0,0,-3500.626,1450.381,0,0,-38.375,-3510.743,0,0,0,196.756,1.419,-4.154,194.021,-1270.488,-1471.267,992.477,0,0,0.62,0.94,4.38,2.32,0.22,0,0.24,4.62,14.66,6.82,3.39,21.76,1.82,19068.02,20580.045,-119.37,-89.27,-104.45,50.6,32.99,-27.77,0,-366.38,0.75,4,-2.25,0.202,-2.15,0.84,0.65,0,27.83,17.94,0,-0.06,-195.25,-52.43,-13.63,1003.582,1003.58,1.48,11/14/2011,11/14/2011
Dec-11,23.348,2.154,1.095,-2.036,-2.036,-5.24,0.59,1.722,0,28.531,18.087,22.478,18.04,-27.48,-4.9,36.68,-16.95,-162.79,55.15,30.74,-5.03,-8.72,2.53,0.788,0.172,0.136,17.27,0.14,0,51.05,68.36,54.37,37.06,1.68,0.69,0.413,23431.277,16228.927,7202.349,4571.839,0,0,3809.583,-1179.073,31.737,-2460.31,-2428.573,2246.226,-310.27,-1361.42,-371.687,-27.3,-1733.107,0,-2043.377,0,-2.036,-2.036,1003.581,1063.246,2162.135,10305.167,7918.819,18223.986,13109.669,0,0,0,0,108.957,8476.529,7016.904,46827.089,79207.074,1808.444,10601.812,24936.572,390.171,37736.999,-25858.218,11878.781,10481.421,5813.948,17628.1,166022.466,12157.251,0,1579.746,13736.997,14452.862,0,0,0,27020.105,55209.964,8105.292,0,8105.292,57975.672,3356.723,5500.979,7240.436,137389.067,0,0,17382.28,-11706.615,23017.275,-59.54,28633.4,-1733.094,0,-1733.094,1063.246,-1598.474,2445.644,0,-1733.094,119.594,-487.9,5.643,0,2761.107,1728.595,-1136.359,139.222,0,0,-3086.172,1621.714,0,0,26.621,-2434.975,0,0,0,476.486,-161.999,1427.811,1742.298,1062.873,-1136.359,592.236,0,0,0.63,1,7.76,2.8,0.21,0,0.33,5.6,35.56,2.81,2.35,31.02,1.91,18104.583,27939.73,-118.74,-90.24,-104.72,50.34,31.82,-56.06,0,-331.43,0.68,4,-2.55,0.23,-2.55,0.85,0.69,0,22.31,16.53,0,-11.35,-335.8,32.55,-18.18,1003.581,1003.58,1.43,2/14/2012,2/14/2012
Mar-12,19.338,-5.266,-6.176,-3.064,-3.064,-4.13,1.52,2.849,0.198,24.489,11.448,14.153,20.77,-46.51,-7.57,-214.03,-106.47,-367.51,-134.7,-15.24,-0.09,-15.95,7.86,0.578,0.153,0.088,-7.23,0.119,0,55.42,0,34.78,90.2,2.62,1.15,0.439,19407.125,22365.535,-2958.411,4300.856,0,0,-7242.145,-17.122,72.963,6192.45,6265.414,-6254.185,-173.344,-5.893,-2915.532,-49471.6,-2921.426,0,-3094.77,0,-3.064,-3.064,1003.575,913.238,-5285.106,10847.829,8256.904,19104.733,11786.193,1459.828,1069.97,0,6044.074,0,8573.871,6068.714,45533.511,76631.383,1690.553,9915.977,23732.646,432.276,35771.452,-24481.962,11289.491,13101.864,6993.897,14669.991,161226.24,0,768.754,13014.361,22983.039,4976.13,0,0,0,26972.397,54931.566,9242.923,0,9242.923,60241.409,3449.899,5592.809,3164.848,136623.453,0,0,13150.429,-10211.409,21719.996,-56.229,24602.787,-2921.426,0,-2912.198,913.238,1883.821,446.645,0,-540.866,1819.601,3157.79,4.22,0,-123.918,2858.733,-1333.096,69.192,0,0,-3656.966,2088.039,0,0,-510.587,-3343.418,0,0,0,-20.954,0.364,1207.032,1186.442,1126.138,-1333.096,1525.637,0,0,0.85,1.81,12.48,3.29,0.26,0,0.27,-25.18,-4.54,-22.03,-19.39,81.77,1.66,20866.373,21573.501,-116.98,-90.67,-103.91,44.81,31.84,-40.88,0,523.26,0.53,4,-2.37,0.152,-0.69,0.83,0.67,0,22.33,15.76,-0.11,0.23,35.42,-2369.83,-36.58,1003.575,1004.64,1.4,6/27/2012,6/27/2012
Jun-12,19.035,1.282,0.213,-0.31,-0.31,-4.33,-1.292,-0.321,0,24.217,11.262,15.344,14.24,-5.08,-0.76,7.47,-1.31,-465.65,2.58,33.58,0.41,-1.63,-6.79,0.634,0.147,0.093,15.7,0.117,0,54.12,0,66.76,120.88,1.37,0.66,0.486,19103.312,12688.778,6414.533,4371.798,0,0,1963.621,79.115,71.991,-95.354,-23.362,62.926,-177.167,118.678,-252.184,212.49,-133.505,0,-310.672,0,-0.31,-0.31,1003.574,1072.317,1286.349,8297.199,8292.446,16589.645,11329.833,0,0,0,0,125.985,9992.536,6391.36,44303.374,81984.475,1753.182,10114.114,24660.557,490.196,37018.05,-25386.899,11631.15,13000.598,6994.296,14634.862,165554.459,0,612.253,11923.982,21538.381,5495.34,0,0,0,27868.164,54901.885,9903.902,0,9903.902,22222.613,3732.437,5926.834,44563.829,141251.5,0,0,13362.13,-11588.775,22588.029,-58.425,24302.958,-133.505,0,-133.505,1072.317,438.289,-1508.059,0,-361.179,-2732.78,89.214,5.157,0,1377.327,-322.271,-974.719,99.54,0,0,-3679.08,1224.015,0,0,11.536,-3318.708,0,0,0,1199.354,-158.86,-53.319,987.175,-2981.547,-974.719,-1296.99,0,0,0.59,1.26,7.76,2.11,0.17,0,0.23,-19.85,-3.74,-26.74,-17.7,102.66,2.42,14290.837,19027.268,-124.22,-96.6,-110.77,48.12,32.04,-43.17,0,515.92,0.49,3,-2.44,0.18,0.05,0.81,0.62,0.83,21.77,12.63,0.11,2.78,-61.12,-3.68,-37.42,1003.574,1003.57,1.41,8/10/2012,8/10/2012
Sep-12,20.463,3.858,2.857,-0.197,-0.197,-4.32,0.013,0.956,0.151,23.915,10.523,16.279,11.7,-3.28,-0.47,98.52,-0.62,-183.02,65.94,34.88,1.89,-0.96,0.06,0.681,0.141,0.096,17.1,0.123,0,53.6,0,70.68,124.28,1.29,0.65,0.504,20536.928,13374.186,7162.742,4242.116,0,0,2533.464,387.162,40.929,-2615.847,-2574.918,2439.243,-167.811,251.487,-281.665,112,-30.178,0,-197.99,0,-0.197,-0.197,1003.591,1004.284,3871.618,7535.992,8119.186,15655.178,12064.24,0,0,0,0,137.278,10726.291,5985.387,44431.096,85811.739,1768.317,10243.181,24886.217,495.18,37392.894,-25740.888,11652.006,13440.583,7413.026,14293.77,169629.194,0,766.964,12261.372,21613.483,5184.84,23285.199,0,23285.199,5529.165,55612.687,11152.757,0,11152.757,23093.966,3873.755,5796.138,46098.626,145627.93,0,0,13205.35,-11647.911,22501.968,-58.143,24001.264,-30.178,0,-30.178,1004.284,-661.762,-509.936,0,-346.604,-493.426,-40.583,4.543,0,515.209,959.848,-947.126,126.78,0,663.349,-3458.514,1312.928,0,0,-354.372,-2656.955,0,0,0,163.678,1.433,726.624,891.735,-886.501,-947.126,12.722,0,0,0.49,1.11,13.17,2.2,0.14,0,0.22,10.43,-7.74,-12.92,-11.72,243.92,2.98,11742.003,18220.56,-129.51,-100.83,-115.15,49.85,32.05,-29.72,0,492.9,0.53,3,-2.86,0.184,0.52,0.8,0.61,0.15,14.31,10.95,0,0.13,43.65,230.59,-39.74,1003.591,1003.59,1.39,11/1/2012,11/1/2012
Dec-12,23.165,4.117,3.181,-0.128,-0.128,-0.51,1.022,2.032,0,23.928,10.489,24.029,11.2,-2.14,-0.31,113.39,0.78,-98.83,56.2,34.15,2.38,-0.55,4.41,1.004,0.145,0.146,18.96,0.139,0,51.29,0,59.34,110.63,1.54,0.66,0.428,23248.22,15309.325,7938.895,4638.796,0,0,2745.991,554.108,32.092,-2841.635,-2809.543,2606.668,-170.497,351.233,-309.188,88.03,42.045,0,-128.451,0,-0.128,-0.128,1003.594,939.247,4132.115,8330.646,7855.903,16186.549,13068.677,0,0,0,0,109.614,9184.597,5958.349,44398.172,82994.421,1657.157,9865.653,22795.699,463.072,34781.58,-23906.039,10875.541,13487.161,7472.804,13669.724,165425.018,0,0,0,12335.48,12866.518,0,0,0,29017.729,54219.727,11249.39,0,11249.39,44890.208,3495.778,5600.169,21955.472,141410.745,0,0,12185.463,-6859.453,20979.109,-53.216,24014.274,42.045,0,42.045,939.247,-1357.946,1472.709,0,-805.008,1297.76,33.799,2.757,0,-275.807,2039.802,-1014.292,99.725,0,11.039,-3288.475,1169.631,0,0,36.424,-2985.947,0,0,0,792.214,-150.184,1012.096,1654.125,1303.274,-1014.292,1025.51,0,0,0.47,1.07,8.75,2.11,0.14,0,0.31,6.65,-804.57,-0.12,-9,0,3.12,11240.432,24769.961,-124.77,-96.66,-110.43,47.21,31.98,-31.89,0,424.27,0.56,5,-2.73,0.221,1.84,0.82,0.65,0.19,11.49,9.22,0,-0.78,93.72,91.13,-39.52,1003.594,1003.61,1.49,2/14/2013,2/14/2013
Mar-13,14.372,-2.6,-3.333,0.944,0.944,2.03,1.418,2.166,0.156,22.94,10.72,12.344,17.4,16.79,2.51,-169.9,12.11,-169.93,-135.88,-15.82,8.49,5.42,9.87,0.538,0.155,0.083,-7.34,0.116,0.165,48.69,0,35.93,84.62,2.54,1.16,0.456,18286.684,21179.814,-2893.131,4122.929,0,0,-8568.714,1552.654,109.634,6215.575,6325.208,-5902.68,-207.787,1975.182,-776.49,39.31,1198.692,0,990.904,0,0.971,0.944,1272.41,932.078,-3308.315,8719.648,7360.948,16080.595,9756.611,1423.488,903.567,0,5165.337,0,7492.392,5148.116,38477.714,77209.296,1387.401,8214.773,20412.789,504.791,30519.753,-21428.796,9090.957,12353.593,6787.412,12771.278,149902.838,0,792.234,11578.063,18407.038,2576.575,0,0,0,24548.612,45532.225,9902.163,0,9902.163,58506.025,3946.386,5100.897,3724.617,126712.314,0,0,11631.286,-6769.157,18375.583,-47.188,23190.524,1198.692,0,1198.692,932.078,1967.279,981.787,0,-749.119,2812.251,622.919,2.501,0,-2812.726,2755.714,-951.651,2317.2,0,0,-3181.872,1909.792,0,0,72.618,166.086,0,0,0,-2325.23,0.158,178.896,-2146.175,1354.142,-951.651,1804.062,42.32,8.57,0.76,1.62,13.86,3.87,0.26,0,0.26,4.12,16.89,5.92,-18.46,154.6,1.76,17589.66,19088.7,-109.44,-87.28,-98.49,33.45,31.08,0.67,8.64,324.93,0.64,7,-2.71,0.149,2.48,0.85,0.68,0,18.14,9.92,-0.73,-25.68,130.81,50.63,-34.73,1010.91,1010.9,1.85,6/27/2013,6/27/2013
Jun-13,15.083,2.984,2.271,0.028,0.028,2.11,-1.714,-1.16,0,22.953,10.665,14.372,21.19,0.62,0.1,117.95,2.44,77.95,64.49,35.84,2.12,0.2,-11.36,0.626,0.153,0.096,16.76,0.117,0,56.57,0,65.17,121.74,1.4,0.64,0.458,17614.151,11301.28,6312.871,3959.408,0,0,1979.555,373.909,39.975,-2177.056,-2137.08,2238.854,-164.889,475.683,-275.004,57.81,200.679,0,35.79,0,0.032,0.028,1167.836,831.696,3484.435,8239.739,7431.295,15671.034,10919.525,0,0,0,0,88.972,8651.196,5759.223,41000.977,76146.141,1357.906,8095.994,19816.578,496.303,29766.782,-20865.007,8901.774,12422.081,6873.739,12977.076,151448.049,0,742.068,10767.399,19196.524,4753.628,0,0,0,23882.121,47832.272,9775.153,0,9775.153,58420.27,3882.82,4983.792,3349.72,128244.027,0,0,11372.222,-6036.139,17914.043,-46.105,23204.021,200.679,0,200.679,831.696,-533.923,-1169.126,0,1666.622,-2477.431,-45.056,3.846,0,132.133,-1354.132,-647.154,870.654,0,0,-2534.962,1743.446,0,0,139.528,-428.488,0,0,0,1466.519,-130.395,-94.791,1241.333,-258.857,-647.154,-2001.286,31.47,10.04,0.92,1.99,38.23,6.16,0.33,0,0.35,3.67,7.12,14.04,-20.83,193.53,1.45,21421.395,25262.933,-111.36,-86.3,-98.98,35.54,29.53,3.53,12.46,327.79,0.71,7,-2.51,0.18,1.46,0.86,0.68,0.17,23.35,15.9,0,-20.76,108.9,132.76,-29.69,1010.916,1010.92,1.96,8/9/2013,8/9/2013
Sep-13,17.547,0.958,0.129,-0.194,-0.194,3.1,0.48,1.2,0.125,21.98,10.333,13.386,21.52,-3.38,-0.51,6.04,-2.09,-220.78,2.01,23.45,0.83,-1.09,2.73,0.609,0.151,0.092,11.1,0.118,0,58.32,0,61.23,119.55,1.49,0.77,0.514,17896.24,13699.496,4196.744,4156.617,0,0,-108.689,148.816,56.012,-71.485,-15.472,-73.229,-137.587,60.115,-116.934,194.52,-56.819,0,-194.406,0,-0.194,-0.194,1019.875,845.872,977.472,7314.464,7563.844,14878.309,11438.434,0,0,0,0,98.113,9733.787,5442.859,41493.388,76122.236,1330.914,7934.533,19357.746,446.336,29069.529,-20526.701,8542.828,12085.707,6774.529,12725.784,150969.943,0,984.417,10992.229,20502.449,4657.645,0,0,0,23348.987,48509.082,9231.579,0,9231.579,40349.632,3802.459,5069.62,21200.514,128162.887,0,0,10819.786,-5785.143,17815.23,-42.818,22807.056,-56.819,0,-56.819,845.872,-187.814,-1277.109,0,1154.884,209.646,-68.037,2.399,0,291.14,1224.201,-735.117,4.334,0,0,-2295.061,1159.46,0,0,27.386,-1838.998,0,0,0,-82.996,0.917,-39.462,-121.54,-761.244,-735.117,489.084,33.74,6.94,0.98,2.08,20.79,5.49,0.32,0,0.36,5.51,18.89,5.29,-11.96,455.39,1.3,22329.798,26410.334,-109.18,-83.53,-96.22,43.39,28.39,2.87,12.29,379.85,0.66,7,-2.39,0.178,0.75,0.86,0.65,2.08,23.54,19.55,-2.64,-14.25,1.62,-75.17,-23.99,1019.875,1037.63,1.88,11/12/2013,11/12/2013
